1. Genetic Algorithm    --------------------------------------------------------------------------------------------------------------------------------------------------
NOTE : OUTPUT WILL CHANGE WITH EVERY EXCUTION SINCE MARKS ARE RANDOMLY ASSINGED TO STUDENTS. 


Enter no. of students: 
100
-----------group 1:34 group 2:80 group 3 : 4 fitness : 898 ----------------  //Group leaders of each group
*********************GROUP-1**************************
student  0 : 43
student  3 : 39
student  4 : 34
student  17 : 39
student  20 : 57
student  22 : 29
student  31 : 27
student  37 : 42
student  38 : 28
student  40 : 26
student  42 : 45
student  45 : 42
student  47 : 42
student  49 : 23
student  51 : 35
student  54 : 47
student  56 : 24
student  58 : 20
student  61 : 31
student  62 : 34
student  72 : 29
student  76 : 48
student  77 : 20
student  80 : 42
student  83 : 36
student  84 : 33
student  87 : 22
student  90 : 30
student  93 : 29
student  94 : 41
*********************GROUP-2**************************
student  2 : 92
student  5 : 66
student  6 : 79
student  8 : 68
student  9 : 86
student  10 : 59
student  11 : 80
student  13 : 91
student  14 : 99
student  15 : 91
student  18 : 101
student  19 : 75
student  21 : 73
student  24 : 91
student  25 : 83
student  27 : 71
student  28 : 86
student  34 : 65
student  36 : 67
student  39 : 101
student  41 : 86
student  44 : 75
student  46 : 58
student  48 : 80
student  50 : 83
student  52 : 95
student  53 : 77
student  55 : 84
student  60 : 87
student  63 : 69
student  64 : 99
student  65 : 64
student  66 : 85
student  67 : 65
student  69 : 78
student  70 : 64
student  71 : 96
student  74 : 63
student  79 : 93
student  81 : 58
student  82 : 94
student  86 : 85
student  88 : 88
student  91 : 73
student  92 : 100
student  95 : 98
student  96 : 93
student  97 : 91
student  98 : 61
student  99 : 62
*********************GROUP-3**************************
student  1 : 13
student  7 : 13
student  12 : 11
student  16 : 2
student  23 : 12
student  26 : 5
student  29 : 4
student  30 : 12
student  32 : 17
student  33 : 2
student  35 : 16
student  43 : 2
student  57 : 17
student  59 : 8
student  68 : 4
student  73 : 7
student  75 : 2
student  78 : 10
student  85 : 5
student  89 : 3



